Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Y
21.8,15.5,18.65,1.5,84,2,0,2,0,0,0,0,0,0,0,0,0,27,0,2
22.3,13.5,17.9,0,86.5,1,1,0,0,0,0,0,0,0,0,2,0,25,3,3
22.2,13.5,17.85,0,86,0,3,1,0,0,0,0,0,0,0,0,0,34,0,1
18.5,10.2,14.35,0,87.5,2,0,0,0,0,0,0,0,0,0,0,0,18,1,1
15.2,9.2,12.2,0,79.5,0,2,2,0,0,0,0,0,0,0,1,0,25,0,1
21.3,9.5,15.4,0,80,3,0,0,0,0,0,0,0,0,0,0,0,14,2,2
22.2,13.8,18,1,80,2,1,0,0,0,0,0,0,0,0,0,0,28,1,1
23.5,10.8,17.15,0,86.5,1,1,1,0,0,0,0,0,0,0,0,0,32,0,0
19.5,11.5,15.5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2
20.5,10.8,15.65,0,88,1,0,0,0,0,0,0,0,0,0,0,0,42,0,1
19.5,8.8,14.15,0,83.5,2,1,0,0,0,0,0,0,0,0,0,0,48,0,0
23.5,9.8,16.65,0,73,3,0,1,0,0,0,0,0,0,0,2,0,57,2,0
24.3,10.2,17.25,0,75,2,2,1,0,0,0,0,0,0,0,0,0,62,2,2
25.2,10.8,18,0,74,2,0,0,0,0,0,0,0,0,0,0,0,61,1,1
25.7,12.5,19.1,0,75.5,3,1,2,0,0,0,0,0,0,0,1,0,55,0,3
24.5,13.8,19.15,0,77.5,2,2,1,0,0,0,0,0,0,0,0,0,57,0,2
25.5,13.2,19.35,0,89,4,1,1,0,0,0,0,0,0,0,1,0,62,0,2
20.3,11.3,15.8,0,80,1,0,2,0,0,0,0,0,0,0,0,0,78,0,3
19.5,8.2,13.85,1.5,87.5,2,0,1,0,0,0,0,0,0,0,2,0,46,0,2
17.5,8.5,13,0,80.5,2,1,2,0,0,0,0,0,0,0,2,0,32,0,1
19.5,7.5,13.5,0,81,1,0,2,0,0,0,0,0,0,0,0,0,28,0,0
20.5,7.8,14.15,0,78,2,0,1,0,0,0,0,0,0,0,2,0,23,0,2
20.3,9.5,14.9,0,79,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0
21.5,8.8,15.15,0,69.5,2,0,1,0,0,0,0,0,0,0,1,0,14,0,1
22.5,9.5,16,0,77.5,2,1,1,0,0,0,0,0,0,0,2,0,11,0,2
21.6,9.2,15.4,0,77.5,1,0,0,0,0,0,0,0,0,0,1,0,15,0,2
22.3,11.2,16.75,0,75.5,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
23.5,13.5,18.5,0,81.5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
22.2,13.5,17.85,0,84,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
22.3,10.5,16.4,0,84,2,0,0,0,0,0,0,0,0,0,0,0,23,0,1
21.5,8.8,15.15,0,57,1,0,1,0,0,0,0,0,0,0,0,0,17,0,0
21.4,7.5,14.45,0,70,2,0,0,0,0,0,0,0,0,0,0,0,25,0,2
22.8,9.2,16,0,70.5,3,0,0,0,0,0,0,0,0,0,0,0,32,0,1
23.5,8.5,16,0,65.5,2,0,2,0,0,0,0,0,0,0,0,0,27,0,1
23.5,7.8,15.65,0,71,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
23.5,9.2,16.35,0,68,2,0,0,0,0,0,0,0,0,0,0,0,23,0,1
24.2,10.3,17.25,0,66,1,0,2,0,0,1,0,0,0,0,0,0,19,0,0
24.3,9.8,17.05,0,67,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2
25.2,9.5,17.35,0,62,2,0,0,0,0,0,0,0,0,0,0,0,32,0,1
24.5,9.8,17.15,0,63.5,3,0,1,0,0,0,0,0,0,0,0,0,28,0,2
26.2,9.9,18.05,0,58,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0
25.5,10.2,17.85,0,69.5,2,0,1,0,0,0,0,0,0,0,0,0,47,0,2
25.2,10.3,17.75,0,72,2,0,0,0,0,0,0,0,0,0,0,0,52,0,1
25.2,11.8,18.5,0,74,3,0,1,0,0,0,0,0,0,0,0,0,38,0,1
24.5,13.8,19.15,0,75.5,3,0,0,0,0,0,0,0,0,0,0,0,27,0,3
26.5,14.8,20.65,0,81.5,4,0,0,0,2,0,0,0,0,0,0,0,23,0,2
25.2,14.2,19.7,0,75,2,0,1,0,1,0,0,0,0,0,0,0,29,0,3
25.5,13.8,19.65,0,75.5,3,0,2,0,0,0,0,0,0,0,0,0,25,0,2
26.2,13.2,19.7,0,74,2,0,1,0,0,0,0,0,0,0,0,0,23,0,2
25.5,15.5,20.5,0,69,1,0,0,0,0,0,0,0,0,0,0,0,28,0,1
26.8,15.5,21.15,0,73.5,2,0,1,0,0,0,0,0,0,0,0,0,32,0,2
24.5,13.6,19.05,0,68,3,0,0,0,0,0,0,0,0,0,0,0,42,0,3
28.7,15.5,22.1,0,77.5,2,0,2,0,0,0,0,0,0,0,0,0,51,0,1
27.5,15.2,21.35,0,80,1,0,2,0,0,0,0,0,0,0,0,0,43,0,2
23.5,15.8,19.65,2,79.5,3,0,1,0,0,0,0,0,0,0,0,0,32,0,3
22.2,12.6,17.4,0,76.5,1,0,2,0,0,0,0,0,0,0,0,0,27,0,2
25.4,12.8,19.1,0,68.5,2,0,2,0,0,0,0,0,0,0,0,0,15,0,3
27.8,13.5,20.65,0,67,2,0,1,0,0,0,0,0,0,0,0,0,19,0,3
28.5,15.2,21.85,0,65.5,3,0,2,0,0,0,0,0,0,0,0,0,15,0,2
29.5,15.3,22.4,0,65,2,0,1,0,0,0,0,0,0,0,0,0,11,0,3
28.3,16.2,22.25,0,67,2,2,2,0,0,0,0,0,0,0,0,0,17,0,1
28.5,16.8,22.65,0,73,4,1,2,0,0,0,0,0,0,0,0,0,23,0,2
26.8,16.8,21.8,0,67.5,2,0,1,0,0,0,0,0,0,0,0,0,27,0,0
27.5,17.8,22.65,0,79.5,3,0,0,0,0,0,0,0,0,0,0,0,18,0,3
22.5,16.5,19.5,4,78,1,0,2,0,0,0,0,0,0,0,0,0,17,0,1
27.2,16.8,22,0,76.5,2,0,1,0,0,0,0,0,0,0,0,0,23,0,2
27.3,16.2,21.75,0,65,2,0,2,0,0,1,0,0,0,0,0,0,21,0,3
27.2,14.5,20.85,0,64,3,1,2,0,0,0,0,0,0,0,0,0,18,0,3
28.3,15.2,21.75,0,65,3,0,0,0,0,0,0,0,0,0,0,0,11,1,2
27.5,16.3,21.9,0,63,0,0,3,0,0,0,0,0,0,0,0,0,8,2,4
30.5,18.2,24.35,0,70.5,2,0,1,0,0,0,0,0,0,0,0,0,6,3,2
29.6,20.2,24.9,2.5,92.5,2,0,2,0,0,0,0,0,0,0,0,0,4,4,3
22.2,17.5,19.85,5.5,80,2,0,4,0,0,0,0,0,0,0,0,0,7,0,1
27.5,16.2,21.85,0,69,0,0,2,0,0,0,0,0,0,0,0,0,11,2,2
28.3,14.5,21.4,0,58.5,2,0,3,0,0,0,0,0,0,0,0,0,17,0,2
27.8,14.5,21.15,0,64.5,0,0,2,0,0,0,0,0,0,0,0,0,15,0,3
